slevel,grad,Di,MAPKpp,MAPKpp[0],MAPKpp[1],MI,Scyto[0],Scyto[1],Smem[0],Smem[1],Stot,StotNative,StotNone,StotOE,StotOpt,Sves[0],Sves[1],dX,dtzero,gdm,l,maxdose,numiter,p2,p3a,p3b,p3c,p3d,p3e,p4a,p4b,p4n,p5,tp
StotNative,0.0,0.0001,,,,0.0,,,,,1.5,1.5,0.0,42.0,3.3,,,0.0001,,0.0,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.025641025641,0.0001,0.260452106044,0.00236944698725,0.00236945024825,0.149622363665,1.49816438924,1.49816434329,0.00169132035919,0.00169160204422,1.5,1.5,0.0,42.0,3.3,0.000144155248474,0.000144189818618,0.0001,4.72791002529e-12,2.17948717949e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.0512820512821,0.0001,0.262614758432,0.0023891177403,0.00238912871596,0.25179454312,1.49619222502,1.49619213717,0.0033740232759,0.00337458483169,1.5,1.5,0.0,42.0,3.3,0.000433456955685,0.00043357275403,0.0001,1.15626006599e-11,4.35897435897e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.0769230769231,0.0001,0.265812596947,0.00241820380436,0.00241822696966,0.354292936083,1.4940903333,1.49409018855,0.00504761398134,0.00504845348188,1.5,1.5,0.0,42.0,3.3,0.000861582913432,0.000861827767916,0.0001,1.55888001596e-11,6.53846153846e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.102564102564,0.0001,0.269983159756,0.0024561369218,0.00245617678083,0.457206491266,1.49186710233,1.49186689359,0.00671165368378,0.00671276914403,1.5,1.5,0.0,42.0,3.3,0.00142057975619,0.00142100149872,0.0001,2.60668332492e-11,8.71794871795e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.128205128205,0.0001,0.27505394241,0.00250225756819,0.00250231846345,0.55880350785,1.48953210473,1.48953182288,0.00836576787619,0.00836715723236,1.5,1.5,0.0,42.0,3.3,0.00210125106865,0.00210189620697,0.0001,2.98689912127e-11,1.08974358974e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.153846153846,0.0001,0.280945661789,0.00255584455329,0.0025559306602,0.658464623747,1.48709566987,1.48709531463,0.0100096504044,0.0100113115918,1.5,1.5,0.0,42.0,3.3,0.00289357049638,0.00289448300486,0.0001,3.70386193244e-11,1.30769230769e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.179487179487,0.0001,0.287575349696,0.00261614333699,0.00261625831401,0.753630907875,1.48456851,1.48456806994,0.0116430639517,0.0116449947851,1.5,1.5,0.0,42.0,3.3,0.0037870706736,0.00378829064785,0.0001,4.44952616419e-11,1.52564102564e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.205128205128,0.0001,0.294859095386,0.00268239074891,0.00268253784854,0.843659651808,1.48196135966,1.48196082942,0.0132658372378,0.0132680355342,1.5,1.5,0.0,42.0,3.3,0.00477118761306,0.00477275053957,0.0001,6.18169157876e-11,1.74358974359e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.230769230769,0.0001,0.302714343987,0.0027538359746,0.00275401800151,0.927980316121,1.47928470504,1.4792840823,0.0148778601274,0.0148803237352,1.5,1.5,0.0,42.0,3.3,0.0058355462687,0.00583748252814,0.0001,6.58475279164e-11,1.96153846154e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
